SalesKey,InvoiceNo,InvoiceDate,Quantity,UnitPrice,CustomerKey,ProductKey
1,INV38657,2025-04-19 00:57:58,33,56.56,1,1
2,INV38657,2025-04-19 00:57:58,33,56.56,1,15
3,INV38657,2025-04-19 00:57:58,33,56.56,230,1
4,INV38657,2025-04-19 00:57:58,33,56.56,230,15
5,INV38657,2025-04-19 00:57:58,33,56.56,243,1
6,INV38657,2025-04-19 00:57:58,33,56.56,243,15
7,INV38657,2025-04-19 00:57:58,33,56.56,335,1
8,INV38657,2025-04-19 00:57:58,33,56.56,335,15
9,INV59823,2025-05-23 13:16:59,30,17.1,2,2
10,INV59823,2025-05-23 13:16:59,30,17.1,2,20
11,INV59823,2025-05-23 13:16:59,30,17.1,170,2
12,INV59823,2025-05-23 13:16:59,30,17.1,170,20
13,INV59823,2025-05-23 13:16:59,30,17.1,244,2
14,INV59823,2025-05-23 13:16:59,30,17.1,244,20
15,INV97841,2025-07-11 23:35:39,45,8.07,3,2
16,INV97841,2025-07-11 23:35:39,45,8.07,3,20
17,INV97841,2025-07-11 23:35:39,45,8.07,28,2
18,INV97841,2025-07-11 23:35:39,45,8.07,28,20
19,INV97841,2025-07-11 23:35:39,45,8.07,71,2
20,INV97841,2025-07-11 23:35:39,45,8.07,71,20
21,INV97841,2025-07-11 23:35:39,45,8.07,329,2
22,INV97841,2025-07-11 23:35:39,45,8.07,329,20
23,INV45093,2025-03-14 11:27:25,14,22.05,4,3
24,INV45093,2025-03-14 11:27:25,14,22.05,4,17
25,INV45093,2025-03-14 11:27:25,14,22.05,53,3
26,INV45093,2025-03-14 11:27:25,14,22.05,53,17
27,INV45093,2025-03-14 11:27:25,14,22.05,146,3
28,INV45093,2025-03-14 11:27:25,14,22.05,146,17
29,INV45093,2025-03-14 11:27:25,14,22.05,288,3
30,INV45093,2025-03-14 11:27:25,14,22.05,288,17
31,INV86622,2024-09-23 13:10:47,38,22.71,5,4
32,INV86622,2024-09-23 13:10:47,38,22.71,5,18
33,INV86622,2024-09-23 13:10:47,38,22.71,105,4
34,INV86622,2024-09-23 13:10:47,38,22.71,105,18
35,INV86622,2024-09-23 13:10:47,38,22.71,160,4
36,INV86622,2024-09-23 13:10:47,38,22.71,160,18
37,INV86622,2024-09-23 13:10:47,38,22.71,260,4
38,INV86622,2024-09-23 13:10:47,38,22.71,260,18
39,INV86622,2024-09-23 13:10:47,38,22.71,340,4
40,INV86622,2024-09-23 13:10:47,38,22.71,340,18
41,INV86622,2024-09-23 13:10:47,38,22.71,368,4
42,INV86622,2024-09-23 13:10:47,38,22.71,368,18
43,INV88172,2024-09-05 21:41:44,25,99.62,6,3
44,INV88172,2024-09-05 21:41:44,25,99.62,6,17
45,INV88172,2024-09-05 21:41:44,25,99.62,14,3
46,INV88172,2024-09-05 21:41:44,25,99.62,14,17
47,INV88172,2024-09-05 21:41:44,25,99.62,42,3
48,INV88172,2024-09-05 21:41:44,25,99.62,42,17
49,INV88172,2024-09-05 21:41:44,25,99.62,348,3
50,INV88172,2024-09-05 21:41:44,25,99.62,348,17
51,INV26828,2025-02-24 06:00:43,31,27.24,7,5
52,INV26828,2025-02-24 06:00:43,31,27.24,115,5
53,INV26828,2025-02-24 06:00:43,31,27.24,274,5
54,INV37760,2025-07-18 07:19:25,49,71.58,8,6
55,INV37760,2025-07-18 07:19:25,49,71.58,164,6
56,INV37760,2025-07-18 07:19:25,49,71.58,352,6
57,INV87110,2025-04-05 08:01:04,15,1.71,9,6
58,INV87110,2025-04-05 08:01:04,15,1.71,133,6
59,INV87110,2025-04-05 08:01:04,15,1.71,167,6
60,INV87110,2025-04-05 08:01:04,15,1.71,323,6
61,INV38080,2025-03-18 20:58:45,9,47.79,10,6
62,INV38080,2025-03-18 20:58:45,9,47.79,50,6
63,INV38080,2025-03-18 20:58:45,9,47.79,120,6
64,INV38080,2025-03-18 20:58:45,9,47.79,127,6
65,INV38080,2025-03-18 20:58:45,9,47.79,291,6
66,INV38080,2025-03-18 20:58:45,9,47.79,326,6
67,INV34957,2025-06-16 15:41:38,7,36.08,11,3
68,INV34957,2025-06-16 15:41:38,7,36.08,11,17
69,INV34957,2025-06-16 15:41:38,7,36.08,29,3
70,INV34957,2025-06-16 15:41:38,7,36.08,29,17
71,INV34957,2025-06-16 15:41:38,7,36.08,147,3
72,INV34957,2025-06-16 15:41:38,7,36.08,147,17
73,INV34957,2025-06-16 15:41:38,7,36.08,367,3
74,INV34957,2025-06-16 15:41:38,7,36.08,367,17
75,INV34957,2025-06-16 15:41:38,7,36.08,378,3
76,INV34957,2025-06-16 15:41:38,7,36.08,378,17
77,INV17100,2025-06-03 03:34:59,42,7.0,12,5
78,INV17100,2025-06-03 03:34:59,42,7.0,13,5
79,INV17100,2025-06-03 03:34:59,42,7.0,205,5
80,INV17100,2025-06-03 03:34:59,42,7.0,214,5
81,INV17100,2025-06-03 03:34:59,42,7.0,365,5
82,INV10282,2024-11-19 10:23:08,17,42.88,12,4
83,INV10282,2024-11-19 10:23:08,17,42.88,12,18
84,INV10282,2024-11-19 10:23:08,17,42.88,13,4
85,INV10282,2024-11-19 10:23:08,17,42.88,13,18
86,INV10282,2024-11-19 10:23:08,17,42.88,205,4
87,INV10282,2024-11-19 10:23:08,17,42.88,205,18
88,INV10282,2024-11-19 10:23:08,17,42.88,214,4
89,INV10282,2024-11-19 10:23:08,17,42.88,214,18
90,INV10282,2024-11-19 10:23:08,17,42.88,365,4
91,INV10282,2024-11-19 10:23:08,17,42.88,365,18
92,INV51104,2025-04-01 17:21:33,4,50.78,6,7
93,INV51104,2025-04-01 17:21:33,4,50.78,6,13
94,INV51104,2025-04-01 17:21:33,4,50.78,14,7
95,INV51104,2025-04-01 17:21:33,4,50.78,14,13
96,INV51104,2025-04-01 17:21:33,4,50.78,42,7
97,INV51104,2025-04-01 17:21:33,4,50.78,42,13
98,INV51104,2025-04-01 17:21:33,4,50.78,348,7
99,INV51104,2025-04-01 17:21:33,4,50.78,348,13
100,INV64948,2025-03-12 19:02:02,38,32.32,15,5
101,INV64948,2025-03-12 19:02:02,38,32.32,122,5
102,INV64948,2025-03-12 19:02:02,38,32.32,144,5
103,INV64948,2025-03-12 19:02:02,38,32.32,211,5
