TimeKey,InvoiceDate,Year,Month,Quarter
1,4/19/2025 0:57,2025,4,Q2
2,5/23/2025 13:16,2025,5,Q2
3,7/11/2025 23:35,2025,7,Q3
4,3/14/2025 11:27,2025,3,Q1
5,9/23/2024 13:10,2024,9,Q3
6,9/5/2024 21:41,2024,9,Q3
7,2/24/2025 6:00,2025,2,Q1
8,7/18/2025 7:19,2025,7,Q3
9,4/5/2025 8:01,2025,4,Q2
10,3/18/2025 20:58,2025,3,Q1
11,6/16/2025 15:41,2025,6,Q2
12,6/3/2025 3:34,2025,6,Q2
13,11/19/2024 10:23,2024,11,Q4
14,4/1/2025 17:21,2025,4,Q2
15,3/12/2025 19:02,2025,3,Q1
16,1/11/2025 9:39,2025,1,Q1
17,5/22/2025 9:36,2025,5,Q2
18,11/6/2024 20:05,2024,11,Q4
19,6/24/2025 3:44,2025,6,Q2
20,6/22/2025 12:01,2025,6,Q2
21,6/24/2025 14:52,2025,6,Q2
22,10/15/2024 13:48,2024,10,Q4
23,7/3/2025 7:46,2025,7,Q3
24,1/20/2025 23:02,2025,1,Q1
25,10/9/2024 22:55,2024,10,Q4
26,7/24/2025 18:51,2025,7,Q3
27,11/29/2024 19:20,2024,11,Q4
28,1/9/2025 15:32,2025,1,Q1
29,11/14/2024 9:26,2024,11,Q4
30,8/4/2025 7:47,2025,8,Q3
31,2/21/2025 21:57,2025,2,Q1
32,5/10/2025 19:26,2025,5,Q2
33,12/5/2024 0:42,2024,12,Q4
34,6/9/2025 1:27,2025,6,Q2
35,8/23/2024 6:06,2024,8,Q3
36,3/26/2025 0:56,2025,3,Q1
37,6/19/2025 13:29,2025,6,Q2
38,1/27/2025 23:40,2025,1,Q1
39,4/9/2025 9:46,2025,4,Q2
40,11/29/2024 20:44,2024,11,Q4
41,12/24/2024 20:12,2024,12,Q4
42,11/12/2024 0:37,2024,11,Q4
43,3/29/2025 13:26,2025,3,Q1
44,12/19/2024 10:04,2024,12,Q4
45,2/28/2025 10:38,2025,2,Q1
46,3/16/2025 22:36,2025,3,Q1
